"Time Stamp","Time Zone","Name","PTID","Load"
"05/14/2023 00:45:00","EDT","CENTRL",61754,1309.9862
"05/14/2023 00:45:00","EDT","DUNWOD",61760,528.6188
"05/14/2023 00:45:00","EDT","GENESE",61753,801.7174
"05/14/2023 00:45:00","EDT","HUD VL",61758,840.6921
"05/14/2023 00:45:00","EDT","LONGIL",61762,1812.5427
"05/14/2023 00:45:00","EDT","MHK VL",61756,597.1232
"05/14/2023 00:45:00","EDT","MILLWD",61759,231.7348
"05/14/2023 00:45:00","EDT","N.Y.C.",61761,4767.3955
"05/14/2023 00:45:00","EDT","NORTH",61755,593.9281
"05/14/2023 00:45:00","EDT","WEST",61752,1255.135
"05/14/2023 00:50:00","EDT","CAPITL",61757,948.2758
"05/14/2023 00:50:00","EDT","CENTRL",61754,1319.4749
"05/14/2023 00:50:00","EDT","DUNWOD",61760,529.8567
"05/14/2023 00:50:00","EDT","GENESE",61753,803.7942
"05/14/2023 00:50:00","EDT","HUD VL",61758,837.1322
"05/14/2023 00:50:00","EDT","LONGIL",61762,1813.9781
"05/14/2023 00:50:00","EDT","MHK VL",61756,585.4005
"05/14/2023 00:50:00","EDT","MILLWD",61759,225.8517
"05/14/2023 00:50:00","EDT","N.Y.C.",61761,4741.441
"05/14/2023 00:50:00","EDT","NORTH",61755,584.7266
"05/14/2023 00:50:00","EDT","WEST",61752,1239.6334
"05/14/2023 00:55:00","EDT","CAPITL",61757,936.277
"05/14/2023 00:55:00","EDT","CENTRL",61754,1253.3469
"05/14/2023 00:55:00","EDT","DUNWOD",61760,533.634
"05/14/2023 00:55:00","EDT","GENESE",61753,804.7917
"05/14/2023 00:55:00","EDT","HUD VL",61758,848.4591
"05/14/2023 00:55:00","EDT","LONGIL",61762,1790.8467
"05/14/2023 00:55:00","EDT","MHK VL",61756,598.4395
"05/14/2023 00:55:00","EDT","MILLWD",61759,222.3296
"05/14/2023 00:55:00","EDT","N.Y.C.",61761,4735.2866
"05/14/2023 00:55:00","EDT","NORTH",61755,595.629
"05/14/2023 00:55:00","EDT","WEST",61752,1247.7058
"05/14/2023 00:56:51","EDT","CAPITL",61757,932.5001
"05/14/2023 00:56:51","EDT","CENTRL",61754,1248.4373
"05/14/2023 00:56:51","EDT","DUNWOD",61760,541.9296
"05/14/2023 00:56:51","EDT","GENESE",61753,792.9072
"05/14/2023 00:56:51","EDT","HUD VL",61758,836.6564
"05/14/2023 00:56:51","EDT","LONGIL",61762,1780.7856
"05/14/2023 00:56:51","EDT","MHK VL",61756,594.7901
"05/14/2023 00:56:51","EDT","MILLWD",61759,214.7193
"05/14/2023 00:56:51","EDT","N.Y.C.",61761,4728.2876
"05/14/2023 00:56:51","EDT","NORTH",61755,595.2653
"05/14/2023 00:56:51","EDT","WEST",61752,1242.9745
"05/14/2023 00:58:09","EDT","CAPITL",61757,929.5713
"05/14/2023 00:58:09","EDT","CENTRL",61754,1285.8718
"05/14/2023 00:58:09","EDT","DUNWOD",61760,559.3184
"05/14/2023 00:58:09","EDT","GENESE",61753,802.5458
"05/14/2023 00:58:09","EDT","HUD VL",61758,842.4569
"05/14/2023 00:58:09","EDT","LONGIL",61762,1788.2583
"05/14/2023 00:58:09","EDT","MHK VL",61756,598.5067
"05/14/2023 00:58:09","EDT","MILLWD",61759,207.2501
"05/14/2023 00:58:09","EDT","N.Y.C.",61761,4659.2417
"05/14/2023 00:58:09","EDT","NORTH",61755,587.9837
"05/14/2023 00:58:09","EDT","WEST",61752,1223.0605
"05/14/2023 01:00:00","EDT","CAPITL",61757,945.4586
"05/14/2023 01:00:00","EDT","CENTRL",61754,1276.3173
"05/14/2023 01:00:00","EDT","DUNWOD",61760,541.4065
"05/14/2023 01:00:00","EDT","GENESE",61753,791.4997
"05/14/2023 01:00:00","EDT","HUD VL",61758,837.9203
"05/14/2023 01:00:00","EDT","LONGIL",61762,1783.6765
"05/14/2023 01:00:00","EDT","MHK VL",61756,594.1281
"05/14/2023 01:00:00","EDT","MILLWD",61759,223.493
"05/14/2023 01:00:00","EDT","N.Y.C.",61761,4679.1924
"05/14/2023 01:00:00","EDT","NORTH",61755,590.3203
"05/14/2023 01:00:00","EDT","WEST",61752,1238.728
"05/14/2023 01:05:00","EDT","CAPITL",61757,933.7097
"05/14/2023 01:05:00","EDT","CENTRL",61754,1277.1052
"05/14/2023 01:05:00","EDT","DUNWOD",61760,530.3315
"05/14/2023 01:05:00","EDT","GENESE",61753,792.0477
"05/14/2023 01:05:00","EDT","HUD VL",61758,809.6179
"05/14/2023 01:05:00","EDT","LONGIL",61762,1783.4946
"05/14/2023 01:05:00","EDT","MHK VL",61756,598.264
"05/14/2023 01:05:00","EDT","MILLWD",61759,233.4986
"05/14/2023 01:05:00","EDT","N.Y.C.",61761,4656.2354
"05/14/2023 01:05:00","EDT","NORTH",61755,590.054
"05/14/2023 01:05:00","EDT","WEST",61752,1237.8872
"05/14/2023 01:10:00","EDT","CAPITL",61757,930.5176
"05/14/2023 01:10:00","EDT","CENTRL",61754,1282.4567
"05/14/2023 01:10:00","EDT","DUNWOD",61760,529.7563
"05/14/2023 01:10:00","EDT","GENESE",61753,790.653
"05/14/2023 01:10:00","EDT","HUD VL",61758,835.9871
"05/14/2023 01:10:00","EDT","LONGIL",61762,1772.4595
"05/14/2023 01:10:00","EDT","MHK VL",61756,584.1986
"05/14/2023 01:10:00","EDT","MILLWD",61759,226.3332
"05/14/2023 01:10:00","EDT","N.Y.C.",61761,4646.3174
"05/14/2023 01:10:00","EDT","NORTH",61755,585.9027
"05/14/2023 01:10:00","EDT","WEST",61752,1228.3229
"05/14/2023 01:15:00","EDT","CAPITL",61757,915.7659
"05/14/2023 01:15:00","EDT","CENTRL",61754,1248.6174
"05/14/2023 01:15:00","EDT","DUNWOD",61760,517.3967
"05/14/2023 01:15:00","EDT","GENESE",61753,787.8289
"05/14/2023 01:15:00","EDT","HUD VL",61758,814.5197
"05/14/2023 01:15:00","EDT","LONGIL",61762,1756.6139
"05/14/2023 01:15:00","EDT","MHK VL",61756,590.1027
"05/14/2023 01:15:00","EDT","MILLWD",61759,261.841
"05/14/2023 01:15:00","EDT","N.Y.C.",61761,4621.3857
"05/14/2023 01:15:00","EDT","NORTH",61755,598.7322
"05/14/2023 01:15:00","EDT","WEST",61752,1230.8094
"05/14/2023 01:20:00","EDT","CAPITL",61757,937.3768
"05/14/2023 01:20:00","EDT","CENTRL",61754,1265.7393
"05/14/2023 01:20:00","EDT","DUNWOD",61760,517.3743
"05/14/2023 01:20:00","EDT","GENESE",61753,781.0046
"05/14/2023 01:20:00","EDT","HUD VL",61758,787.6783
"05/14/2023 01:20:00","EDT","LONGIL",61762,1752.2544
"05/14/2023 01:20:00","EDT","MHK VL",61756,586.8063
"05/14/2023 01:20:00","EDT","MILLWD",61759,232.2908
"05/14/2023 01:20:00","EDT","N.Y.C.",61761,4603.214
"05/14/2023 01:20:00","EDT","NORTH",61755,595.3031
"05/14/2023 01:20:00","EDT","WEST",61752,1226.743
"05/14/2023 01:25:00","EDT","CAPITL",61757,930.1218
"05/14/2023 01:25:00","EDT","CENTRL",61754,1284.7279
"05/14/2023 01:25:00","EDT","DUNWOD",61760,512.3069
"05/14/2023 01:25:00","EDT","GENESE",61753,781.3055
"05/14/2023 01:25:00","EDT","HUD VL",61758,819.7036
"05/14/2023 01:25:00","EDT","LONGIL",61762,1758.7898
"05/14/2023 01:25:00","EDT","MHK VL",61756,594.6189
"05/14/2023 01:25:00","EDT","MILLWD",61759,227.7123
"05/14/2023 01:25:00","EDT","N.Y.C.",61761,4559.8916
"05/14/2023 01:25:00","EDT","NORTH",61755,580.8092
"05/14/2023 01:25:00","EDT","WEST",61752,1215.2208
"05/14/2023 01:30:00","EDT","CAPITL",61757,927.7465
"05/14/2023 01:30:00","EDT","CENTRL",61754,1269.7065
"05/14/2023 01:30:00","EDT","DUNWOD",61760,503.8895
"05/14/2023 01:30:00","EDT","GENESE",61753,776.7847
"05/14/2023 01:30:00","EDT","HUD VL",61758,811.0944
"05/14/2023 01:30:00","EDT","LONGIL",61762,1732.2849
"05/14/2023 01:30:00","EDT","MHK VL",61756,581.2168
"05/14/2023 01:30:00","EDT","MILLWD",61759,228.6307
"05/14/2023 01:30:00","EDT","N.Y.C.",61761,4565.4365
"05/14/2023 01:30:00","EDT","NORTH",61755,596.9408
"05/14/2023 01:30:00","EDT","WEST",61752,1224.2416
"05/14/2023 01:35:00","EDT","CAPITL",61757,926.3909
"05/14/2023 01:35:00","EDT","CENTRL",61754,1287.4429
"05/14/2023 01:35:00","EDT","DUNWOD",61760,503.6822
"05/14/2023 01:35:00","EDT","GENESE",61753,769.2129
"05/14/2023 01:35:00","EDT","HUD VL",61758,790.7918
"05/14/2023 01:35:00","EDT","LONGIL",61762,1711.7642
"05/14/2023 01:35:00","EDT","MHK VL",61756,575.3033
"05/14/2023 01:35:00","EDT","MILLWD",61759,232.1888
"05/14/2023 01:35:00","EDT","N.Y.C.",61761,4537.555
"05/14/2023 01:35:00","EDT","NORTH",61755,592.2533
"05/14/2023 01:35:00","EDT","WEST",61752,1227.2703
"05/14/2023 01:40:00","EDT","CAPITL",61757,922.2249
"05/14/2023 01:40:00","EDT","CENTRL",61754,1222.2946
"05/14/2023 01:40:00","EDT","DUNWOD",61760,508.1907
"05/14/2023 01:40:00","EDT","GENESE",61753,776.9369
"05/14/2023 01:40:00","EDT","HUD VL",61758,773.3191
"05/14/2023 01:40:00","EDT","LONGIL",61762,1699.4955
"05/14/2023 01:40:00","EDT","MHK VL",61756,569.1062
"05/14/2023 01:40:00","EDT","MILLWD",61759,249.3237
"05/14/2023 01:40:00","EDT","N.Y.C.",61761,4512.3696
"05/14/2023 01:40:00","EDT","NORTH",61755,599.9973
"05/14/2023 01:40:00","EDT","WEST",61752,1213.7687
"05/14/2023 01:45:00","EDT","CAPITL",61757,919.3975
"05/14/2023 01:45:00","EDT","CENTRL",61754,1247.3473
"05/14/2023 01:45:00","EDT","DUNWOD",61760,500.3535
"05/14/2023 01:45:00","EDT","GENESE",61753,769.683
"05/14/2023 01:45:00","EDT","HUD VL",61758,799.8226
"05/14/2023 01:45:00","EDT","LONGIL",61762,1697.2808
"05/14/2023 01:45:00","EDT","MHK VL",61756,585.2326
"05/14/2023 01:45:00","EDT","MILLWD",61759,221.7024
"05/14/2023 01:45:00","EDT","N.Y.C.",61761,4481.3174
"05/14/2023 01:45:00","EDT","NORTH",61755,587.7699
"05/14/2023 01:45:00","EDT","WEST",61752,1213.9485
"05/14/2023 01:50:00","EDT","CAPITL",61757,916.0164
"05/14/2023 01:50:00","EDT","CENTRL",61754,1239.849
"05/14/2023 01:50:00","EDT","DUNWOD",61760,507.6619
"05/14/2023 01:50:00","EDT","GENESE",61753,772.2734
"05/14/2023 01:50:00","EDT","HUD VL",61758,795.1484
"05/14/2023 01:50:00","EDT","LONGIL",61762,1684.7993
"05/14/2023 01:50:00","EDT","MHK VL",61756,573.8236
"05/14/2023 01:50:00","EDT","MILLWD",61759,223.9712
"05/14/2023 01:50:00","EDT","N.Y.C.",61761,4466.442
"05/14/2023 01:50:00","EDT","NORTH",61755,590.8427
"05/14/2023 01:50:00","EDT","WEST",61752,1208.4741
"05/14/2023 01:55:00","EDT","CAPITL",61757,912.0627
"05/14/2023 01:55:00","EDT","CENTRL",61754,1248.3735
"05/14/2023 01:55:00","EDT","DUNWOD",61760,517.7141
"05/14/2023 01:55:00","EDT","GENESE",61753,782.0837
"05/14/2023 01:55:00","EDT","HUD VL",61758,776.8696
"05/14/2023 01:55:00","EDT","LONGIL",61762,1681.5458
"05/14/2023 01:55:00","EDT","MHK VL",61756,569.6962
"05/14/2023 01:55:00","EDT","MILLWD",61759,240.312
"05/14/2023 01:55:00","EDT","N.Y.C.",61761,4441.78
"05/14/2023 01:55:00","EDT","NORTH",61755,592.0153
"05/14/2023 01:55:00","EDT","WEST",61752,1202.556
"05/14/2023 02:00:00","EDT","CAPITL",61757,916.1358
"05/14/2023 02:00:00","EDT","CENTRL",61754,1209.7927
"05/14/2023 02:00:00","EDT","DUNWOD",61760,503.3377
"05/14/2023 02:00:00","EDT","GENESE",61753,766.2256
"05/14/2023 02:00:00","EDT","HUD VL",61758,792.9191
"05/14/2023 02:00:00","EDT","LONGIL",61762,1671.1959
"05/14/2023 02:00:00","EDT","MHK VL",61756,587.3434
"05/14/2023 02:00:00","EDT","MILLWD",61759,217.4362
"05/14/2023 02:00:00","EDT","N.Y.C.",61761,4431.889
"05/14/2023 02:00:00","EDT","NORTH",61755,575.3612
"05/14/2023 02:00:00","EDT","WEST",61752,1210.6069
"05/14/2023 02:05:00","EDT","CAPITL",61757,922.6177
"05/14/2023 02:05:00","EDT","CENTRL",61754,1227.6013
"05/14/2023 02:05:00","EDT","DUNWOD",61760,498.5648
"05/14/2023 02:05:00","EDT","GENESE",61753,761.8604
"05/14/2023 02:05:00","EDT","HUD VL",61758,770.5984
"05/14/2023 02:05:00","EDT","LONGIL",61762,1666.037
"05/14/2023 02:05:00","EDT","MHK VL",61756,576.1539
"05/14/2023 02:05:00","EDT","MILLWD",61759,220.4931
"05/14/2023 02:05:00","EDT","N.Y.C.",61761,4415.2026
"05/14/2023 02:05:00","EDT","NORTH",61755,590.0382
"05/14/2023 02:05:00","EDT","WEST",61752,1210.9562
"05/14/2023 02:10:00","EDT","CAPITL",61757,908.0209
"05/14/2023 02:10:00","EDT","CENTRL",61754,1250.3442
"05/14/2023 02:10:00","EDT","DUNWOD",61760,498.2927
"05/14/2023 02:10:00","EDT","GENESE",61753,765.5088
"05/14/2023 02:10:00","EDT","HUD VL",61758,785.365
"05/14/2023 02:10:00","EDT","LONGIL",61762,1668.1897
"05/14/2023 02:10:00","EDT","MHK VL",61756,560.5569
"05/14/2023 02:10:00","EDT","MILLWD",61759,211.0263
"05/14/2023 02:10:00","EDT","N.Y.C.",61761,4397.975
"05/14/2023 02:10:00","EDT","NORTH",61755,602.8047
"05/14/2023 02:10:00","EDT","WEST",61752,1206.0685
"05/14/2023 02:15:00","EDT","CAPITL",61757,907.4465
"05/14/2023 02:15:00","EDT","CENTRL",61754,1252.7189
"05/14/2023 02:15:00","EDT","DUNWOD",61760,485.559
"05/14/2023 02:15:00","EDT","GENESE",61753,759.3405
"05/14/2023 02:15:00","EDT","HUD VL",61758,805.646
"05/14/2023 02:15:00","EDT","LONGIL",61762,1668.5679
"05/14/2023 02:15:00","EDT","MHK VL",61756,565.9335
"05/14/2023 02:15:00","EDT","MILLWD",61759,206.6339
"05/14/2023 02:15:00","EDT","N.Y.C.",61761,4394.171
"05/14/2023 02:15:00","EDT","NORTH",61755,587.3574
"05/14/2023 02:15:00","EDT","WEST",61752,1209.5719
"05/14/2023 02:20:00","EDT","CAPITL",61757,903.8919
"05/14/2023 02:20:00","EDT","CENTRL",61754,1248.7532
"05/14/2023 02:20:00","EDT","DUNWOD",61760,481.8391
"05/14/2023 02:20:00","EDT","GENESE",61753,767.7581
"05/14/2023 02:20:00","EDT","HUD VL",61758,778.5601
"05/14/2023 02:20:00","EDT","LONGIL",61762,1659.2665
"05/14/2023 02:20:00","EDT","MHK VL",61756,575.3975
"05/14/2023 02:20:00","EDT","MILLWD",61759,220.3597
"05/14/2023 02:20:00","EDT","N.Y.C.",61761,4375.538
"05/14/2023 02:20:00","EDT","NORTH",61755,588.385
"05/14/2023 02:20:00","EDT","WEST",61752,1191.9663
"05/14/2023 02:25:00","EDT","CAPITL",61757,904.0754
"05/14/2023 02:25:00","EDT","CENTRL",61754,1185.6372
"05/14/2023 02:25:00","EDT","DUNWOD",61760,483.0856
"05/14/2023 02:25:00","EDT","GENESE",61753,756.4791
"05/14/2023 02:25:00","EDT","HUD VL",61758,769.8645
"05/14/2023 02:25:00","EDT","LONGIL",61762,1650.3065
"05/14/2023 02:25:00","EDT","MHK VL",61756,574.0403
"05/14/2023 02:25:00","EDT","MILLWD",61759,214.6441
"05/14/2023 02:25:00","EDT","N.Y.C.",61761,4358.816
"05/14/2023 02:25:00","EDT","NORTH",61755,579.7267
"05/14/2023 02:25:00","EDT","WEST",61752,1208.5983
"05/14/2023 02:30:00","EDT","CAPITL",61757,895.1361
"05/14/2023 02:30:00","EDT","CENTRL",61754,1201.8314
"05/14/2023 02:30:00","EDT","DUNWOD",61760,481.77
"05/14/2023 02:30:00","EDT","GENESE",61753,757.0432
"05/14/2023 02:30:00","EDT","HUD VL",61758,781.4907
"05/14/2023 02:30:00","EDT","LONGIL",61762,1651.8977
"05/14/2023 02:30:00","EDT","MHK VL",61756,588.5331
"05/14/2023 02:30:00","EDT","MILLWD",61759,217.0881
"05/14/2023 02:30:00","EDT","N.Y.C.",61761,4347.454
"05/14/2023 02:30:00","EDT","NORTH",61755,569.4215
"05/14/2023 02:30:00","EDT","WEST",61752,1198.354
"05/14/2023 02:35:00","EDT","CAPITL",61757,892.3845
"05/14/2023 02:35:00","EDT","CENTRL",61754,1194.7466
"05/14/2023 02:35:00","EDT","DUNWOD",61760,480.4642
"05/14/2023 02:35:00","EDT","GENESE",61753,755.0231
"05/14/2023 02:35:00","EDT","HUD VL",61758,784.9402
"05/14/2023 02:35:00","EDT","LONGIL",61762,1638.9142
"05/14/2023 02:35:00","EDT","MHK VL",61756,575.9722
"05/14/2023 02:35:00","EDT","MILLWD",61759,213.1603
"05/14/2023 02:35:00","EDT","N.Y.C.",61761,4332.42
"05/14/2023 02:35:00","EDT","NORTH",61755,589.49
"05/14/2023 02:35:00","EDT","WEST",61752,1198.4407
"05/14/2023 02:40:00","EDT","CAPITL",61757,894.6378
"05/14/2023 02:40:00","EDT","CENTRL",61754,1196.2606
"05/14/2023 02:40:00","EDT","DUNWOD",61760,480.9441
"05/14/2023 02:40:00","EDT","GENESE",61753,752.694
"05/14/2023 02:40:00","EDT","HUD VL",61758,781.095
"05/14/2023 02:40:00","EDT","LONGIL",61762,1632.4819
"05/14/2023 02:40:00","EDT","MHK VL",61756,574.5855
"05/14/2023 02:40:00","EDT","MILLWD",61759,211.9502
"05/14/2023 02:40:00","EDT","N.Y.C.",61761,4314.9805
"05/14/2023 02:40:00","EDT","NORTH",61755,578.6527
"05/14/2023 02:40:00","EDT","WEST",61752,1201.5865
"05/14/2023 02:45:00","EDT","CAPITL",61757,900.3613
"05/14/2023 02:45:00","EDT","CENTRL",61754,1182.6023
"05/14/2023 02:45:00","EDT","DUNWOD",61760,488.8826
"05/14/2023 02:45:00","EDT","GENESE",61753,752.4669
"05/14/2023 02:45:00","EDT","HUD VL",61758,770.9176
"05/14/2023 02:45:00","EDT","LONGIL",61762,1617.8767
"05/14/2023 02:45:00","EDT","MHK VL",61756,568.4644
"05/14/2023 02:45:00","EDT","MILLWD",61759,200.5102
"05/14/2023 02:45:00","EDT","N.Y.C.",61761,4293.421
"05/14/2023 02:45:00","EDT","NORTH",61755,588.186
"05/14/2023 02:45:00","EDT","WEST",61752,1208.6738
"05/14/2023 02:50:00","EDT","CAPITL",61757,894.6835
"05/14/2023 02:50:00","EDT","CENTRL",61754,1191.9015
"05/14/2023 02:50:00","EDT","DUNWOD",61760,477.2891
"05/14/2023 02:50:00","EDT","GENESE",61753,753.3164
"05/14/2023 02:50:00","EDT","HUD VL",61758,776.6688
"05/14/2023 02:50:00","EDT","LONGIL",61762,1627.5734
"05/14/2023 02:50:00","EDT","MHK VL",61756,571.8257
"05/14/2023 02:50:00","EDT","MILLWD",61759,212.2468
"05/14/2023 02:50:00","EDT","N.Y.C.",61761,4300.1094
"05/14/2023 02:50:00","EDT","NORTH",61755,588.5859
"05/14/2023 02:50:00","EDT","WEST",61752,1201.3363
"05/14/2023 02:55:00","EDT","CAPITL",61757,896.2495
"05/14/2023 02:55:00","EDT","CENTRL",61754,1212.8319
"05/14/2023 02:55:00","EDT","DUNWOD",61760,472.5145
"05/14/2023 02:55:00","EDT","GENESE",61753,747.8625
"05/14/2023 02:55:00","EDT","HUD VL",61758,756.5841
